dec ra err type kind energy time
-41.02055 80.47164 0 null gamma_ray 181.506 1498091491.8066
-52.50239 111.2997 0 null gamma_ray 346.808 1498091491.9065
-32.23113 264.285 0 null gamma_ray 152.198 1498091492.6181
-30.15644 257.9969 0 null gamma_ray 67.09384 1498091492.6524
-38.31734 75.36404 0 null gamma_ray 417.7203 1498091492.9895
-43.89546 132.3983 0 null gamma_ray 404.3715 1498091492.9943
-42.40515 85.47857 0 null gamma_ray 425.5234 1498091493.1292
-32.0233 63.82813 0 null gamma_ray 150.1005 1498091493.7053
-53.49802 118.622 0 null gamma_ray 440.8976 1498091493.7705
-43.53429 91.48097 0 null gamma_ray 592.5115 1498091493.9339
-42.01635 72.54851 0 null gamma_ray 497.0824 1498091494.0835
-48.47564 112.2809 0 null gamma_ray 388.6125 1498091494.8852
-24.34249 350.5384 0 null gamma_ray 73.03198 1498091494.9056
-49.00175 111.8416 0 null gamma_ray 259.5814 1498091495.1027
-46.22154 94.73111 0 null gamma_ray 181.7485 1498091495.2739
-36.95149 82.30504 0 null gamma_ray 1053.398 1498091495.6888
-49.87216 94.08167 0 null gamma_ray 642.3708 1498091495.7391
-28.01446 70.51285 0 null gamma_ray 377.5385 1498091496.401
-77.44202 108.4478 0 null gamma_ray 62.62418 1498091496.6928
-51.91772 102.946 0 null gamma_ray 1550.992 1498091496.778
-47.19815 138.5269 0 null gamma_ray 79.87975 1498091497.1115
-43.24343 102.9019 0 null gamma_ray 126.4652 1498091497.207
-18.74327 294.505 0 null gamma_ray 62.38672 1498091497.2336
-23.68629 62.57455 0 null gamma_ray 1805.245 1498091497.3936
-51.01703 102.0936 0 null gamma_ray 782.3115 1498091497.6463
-65.22272 295.3664 0 null gamma_ray 237.9422 1498091498.0887
-46.52645 83.74112 0 null gamma_ray 330.5698 1498091498.3872
-50.31726 114.3078 0 null gamma_ray 1235.445 1498091498.8084
-50.46306 214.1761 0 null gamma_ray 106.166 1498091498.8365
-50.5256 95.00486 0 null gamma_ray 680.8977 1498091499.2096
-45.75979 97.65136 0 null gamma_ray 257.6013 1498091499.2781
-53.58704 90.19728 0 null gamma_ray 105.9592 1498091499.7866
-48.16748 96.54082 0 null gamma_ray 523.8042 1498091499.8327
-48.29427 142.1801 0 null gamma_ray 116.1589 1498091499.8392
-59.35118 348.8258 0 null gamma_ray 347.1129 1498091499.8445
-46.2968 82.38158 0 null gamma_ray 1642.686 1498091500.5378
-37.48147 70.68617 0 null gamma_ray 494.6974 1498091500.7992
-71.73946 181.7702 0 null gamma_ray 1103.234 1498091501.279
-50.37375 131.6059 0 null gamma_ray 311.2064 1498091501.6723
-51.98056 129.1262 0 null gamma_ray 304.3733 1498091501.9629
-43.60253 107.6896 0 null gamma_ray 214.0163 1498091502.0228
-37.82034 71.63612 0 null gamma_ray 1104.346 1498091502.1568
-46.50922 89.49069 0 null gamma_ray 182.6953 1498091502.6061
-21.90541 63.98104 0 null gamma_ray 126.7232 1498091502.6762
-29.77554 259.4382 0 null gamma_ray 54.95798 1498091502.749
-53.17128 118.757 0 null gamma_ray 317.0767 1498091502.7528
-38.96032 87.40001 0 null gamma_ray 1368.796 1498091502.8128
-50.17245 140.1658 0 null gamma_ray 291.8401 1498091502.9558
-52.18502 113.8482 0 null gamma_ray 238.3844 1498091503.0734
-85.96971 168.6439 0 null gamma_ray 44.42373 1498091503.2426
-51.2384 139.2699 0 null gamma_ray 122.0692 1498091503.5246
-30.75275 63.62519 0 null gamma_ray 220.4701 1498091503.5581
-51.26996 97.57023 0 null gamma_ray 238.9364 1498091503.8682
-45.08874 103.2642 0 null gamma_ray 287.3594 1498091504.2102
-32.21432 68.46035 0 null gamma_ray 87.67339 1498091504.452
-52.17136 128.5686 0 null gamma_ray 727.201 1498091504.5411
-40.47192 253.6501 0 null gamma_ray 159.3381 1498091504.664
-75.79303 95.68935 0 null gamma_ray 43.68447 1498091504.8027
-38.26012 80.98393 0 null gamma_ray 488.3742 1498091504.8225
-45.01958 69.97745 0 null gamma_ray 154.4169 1498091505.1732
-51.09761 96.48782 0 null gamma_ray 376.9712 1498091505.261
-50.57091 118.823 0 null gamma_ray 359.9754 1498091505.2661
-26.94731 57.53324 0 null gamma_ray 253.2524 1498091505.2845
-43.07946 103.6668 0 null gamma_ray 329.5452 1498091505.3281
-43.50264 79.05968 0 null gamma_ray 410.0074 1498091505.5503
-48.50255 135.2256 0 null gamma_ray 288.8406 1498091505.7093
-51.25005 90.56507 0 null gamma_ray 88.3307 1498091505.9997
-29.18515 265.2366 0 null gamma_ray 250.864 1498091506.0127
-35.04478 85.14291 0 null gamma_ray 473.6405 1498091506.1446
-51.75825 104.2616 0 null gamma_ray 1017.75 1498091506.52
-30.07067 62.92812 0 null gamma_ray 164.0527 1498091506.7526
-74.20752 32.12975 0 null gamma_ray 326.7411 1498091506.7661
-47.10864 68.08642 0 null gamma_ray 56.2297 1498091506.7675
-23.06705 61.7085 0 null gamma_ray 266.6964 1498091506.7679
-50.0773 115.7315 0 null gamma_ray 821.6713 1498091507.2108
-32.58749 264.8559 0 null gamma_ray 112.7123 1498091507.5112
-31.90908 63.31298 0 null gamma_ray 1090.728 1498091507.8165
-47.55062 93.9504 0 null gamma_ray 104.6804 1498091507.9544
-43.49646 317.9777 0 null gamma_ray 133.9028 1498091508.1891
-44.84711 128.3861 0 null gamma_ray 280.1395 1498091508.3916
-31.57746 67.13039 0 null gamma_ray 157.3703 1498091508.6535
-38.36338 69.82558 0 null gamma_ray 7727.341 1498091508.6657
-49.64018 105.8283 0 null gamma_ray 175.9408 1498091508.7909
-52.4242 233.7365 0 null gamma_ray 428.8269 1498091508.911
-46.6314 145.8553 0 null gamma_ray 3677.032 1498091509.466
-53.80309 100.9438 0 null gamma_ray 154.7753 1498091509.5628
-26.53809 70.55667 0 null gamma_ray 155.3899 1498091509.5682
-41.33022 74.01016 0 null gamma_ray 754.0923 1498091509.6163
-27.17166 53.96472 0 null gamma_ray 146.3819 1498091509.6984
-46.81555 102.2362 0 null gamma_ray 380.6987 1498091509.7995
-50.78467 97.29205 0 null gamma_ray 693.5197 1498091510.1786
-45.16464 207.3188 0 null gamma_ray 1512.0 1498091510.4221
-52.68782 108.2465 0 null gamma_ray 766.0724 1498091510.4467
-59.63205 121.8956 0 null gamma_ray 40.07495 1498091510.5278
-43.92332 79.78307 0 null gamma_ray 357.3467 1498091510.528
